2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,9.382537,5.07480959,6.688819,11.590955830000002,24.885270781259997,,
1.357297,2.9264284,6.20891636,11.964234699999999,16.03413227,25.12415069,21.621355519999998,15.474746199999998,9.58402619,,,,,,
0.0,0.0,0.0,0.0,0.400962,0.0,10.253501,16.705481,1030.322832,962.307028,1957.446475,955.643528,1533.590051,1117.860354,1201.698312
,,,,,,,4.040765,18.305544,,,,,,
,,,,,,,38.046595,50.503023,80.935424,82.060076,91.50335,103.819912,98.684775,50.761287
,,,,,,,0.28,,55.075102,,5.032316,19.188244,,
1224.8207693900001,1558.78170604,1329.8520047,1653.6070842000001,863.35471874,717.73176411,676.25673224,714.78040285,706.2426911599999,562.3675542899999,620.23155502,712.31028464,649.80110776,745.39135325,623.10938175
,,1.0305005416000002,4.7800876442,17.565989622,12.1332179068,13.677292529799999,9.399303354,4.8831167856,1.4070747308840001,0.687546022152,,,,
2987.9553890133975,3282.323599277401,3327.207837745641,3367.4634095065485,3665.3961137843767,5783.904024291108,5088.693466504663,4647.734312701397,5051.725933727337,5018.926804989411,5887.501610075116,5144.132200230531,5562.623782754145,6263.868464960315,3131.9618916196036
,,,,,,,,,1890.1998004000002,2308.05653048,2503.03667854,2062.1148875,1981.064306,1649.23185818
,,0.689844,1.657726,1.638901,,,,,,,,,1025.65626,1864.247441
,,,,,,,,,0.8623562211919994,1.669316455791999,5.046260122499998,4.168749136497998,0.8827699999999995,
,,,,,,,,,,,,,2481.8234874099985,1465.1101294491991
,,,,,,59.975269340000004,56.86499821,46.37489536,65.94983982,82.51944272,,,,
,,,,0.41563252,17.36860338,12.5199544,50.12030411,19.41829007,42.26422051,39.153586718999996,62.16549761,57.12834479,55.41076864,55.28601761
,,,134.69537191,110.75539812000001,117.20717664,120.91515509999999,131.37226712999998,124.89860403,120.76697306,114.84649365,105.08057862000001,114.70401505,143.13575555,158.44833022
